field,field_type,nar_inclusion,scorable,has_gt,avg_accuracy,n_records
given_bilirubin,bool,included,True,True,1.0,4
prescribed_incubator,bool,included,True,True,1.0,10
prescribed_oxygen,bool,included,True,True,1.0,19
rbs_measured,bool,included,True,True,1.0,26
prescribed_feeds,bool,included,True,True,0.9090909090909091,11
given_vitamin_k,bool,included,True,True,0.8888888888888888,27
mum_has_anc_ultrasound,bool,included,True,True,0.875,24
prescribed_iv_fluids,bool,included,True,True,0.8421052631578947,19
has_murmur,bool,included,True,True,0.8048780487804879,41
was_resuscitated,bool,included,True,True,0.8,30
is_multiple_delivery,bool,included,True,True,0.7948717948717948,39
has_bulging_fontanelle,bool,included,True,True,0.7857142857142857,42
has_good_air_entry,bool,included,True,True,0.7857142857142857,42
born_before_arrival,bool,included,True,True,0.775,40
given_bcg,bool,included,True,True,0.7692307692307693,13
has_crackles,bool,included,True,True,0.7619047619047619,42
has_grunting,bool,included,True,True,0.7619047619047619,42
is_distended,bool,included,True,True,0.7619047619047619,42
is_irritable,bool,included,True,True,0.7619047619047619,42
given_chlorhexidine,bool,included,True,True,0.75,12
mum_had_antepartum_haemorrhage,bool,included,True,True,0.75,36
has_central_cyanosis,bool,included,True,True,0.7380952380952381,42
mum_had_hypertension_in_pregnancy,bool,included,True,True,0.7368421052631579,38
mum_on_arvs,bool,included,True,True,0.725,40
prescribed_antibiotics,bool,included,True,True,0.7142857142857143,21
prolonged_labour,bool,included,True,True,0.7096774193548387,31
mum_had_vdrl,bool,included,True,True,0.6923076923076923,39
prescribed_cpap,bool,included,True,True,0.6923076923076923,13
mum_had_diabetes,bool,included,True,True,0.6666666666666666,36
prescribed_opv,bool,included,True,True,0.6363636363636364,11
prescribed_phototherapy,bool,included,True,True,0.6363636363636364,11
passed_urine,bool,included,True,True,0.6071428571428571,28
prescribed_transfusion,bool,included,True,True,0.6,10
given_prophylaxis_pmtct,bool,included,True,True,0.5714285714285714,7
has_difficulty_breathing,bool,included,True,True,0.5609756097560976,41
has_difficulty_feeding,bool,included,True,True,0.525,40
passed_meconium,bool,included,True,True,0.5185185185185185,27
prescribed_caffeine_citrate,bool,included,True,True,0.5,12
prescribed_surfactant,bool,included,True,True,0.5,8
is_floppy,bool,included,True,True,0.4878048780487805,41
mum_pmtct_status,bool,included,True,True,0.46875,32
has_convulsions,bool,included,True,True,0.4634146341463415,41
chest_indrawing,bool,included,True,True,0.4523809523809524,42
mum_given_HBIG_treatment,bool,included,True,True,0.4482758620689655,29
mum_had_hepatitis_b,bool,included,True,True,0.42857142857142855,35
has_apnoea,bool,included,True,True,0.4,40
prescribed_kmc,bool,included,True,True,0.4,10
has_vomiting,bool,included,True,True,0.36585365853658536,41
has_birth_defects,bool,included,True,True,0.25,28
has_fever,bool,included,True,True,0.0975609756097561,41
has_diarhoea,bool,included,True,True,0.0,41
born_before_arrival,bool,included,True,False,,3
chest_indrawing,bool,included,True,False,,1
given_bcg,bool,included,True,False,,30
given_bilirubin,bool,included,True,False,,39
given_chlorhexidine,bool,included,True,False,,31
given_prophylaxis_pmtct,bool,included,True,False,,36
given_vitamin_k,bool,included,True,False,,16
has_apnoea,bool,included,True,False,,3
has_birth_defects,bool,included,True,False,,15
has_bulging_fontanelle,bool,included,True,False,,1
has_central_cyanosis,bool,included,True,False,,1
has_convulsions,bool,included,True,False,,2
has_crackles,bool,included,True,False,,1
has_diarhoea,bool,included,True,False,,2
has_difficulty_breathing,bool,included,True,False,,2
has_difficulty_feeding,bool,included,True,False,,3
has_fever,bool,included,True,False,,2
has_good_air_entry,bool,included,True,False,,1
has_grunting,bool,included,True,False,,1
has_murmur,bool,included,True,False,,2
has_vomiting,bool,included,True,False,,2
is_distended,bool,included,True,False,,1
is_floppy,bool,included,True,False,,2
is_irritable,bool,included,True,False,,1
is_multiple_delivery,bool,included,True,False,,4
