record_id,json_valid,n_fields_expected,n_fields_present,n_required_present,field_coverage_pct,required_coverage_pct,n_type_checked,n_type_errors,type_compliance_pct,schema_compliant
NAR_40000042,True,120,98,85,81.67,86.73,87,0,100.0,True
NAR_40000043,True,120,92,79,76.67,80.61,80,0,100.0,True
NAR_40000044,True,120,97,84,80.83,85.71,84,0,100.0,True
NAR_40000045,True,120,90,80,75.0,81.63,81,0,100.0,True
NAR_41000001,True,120,99,86,82.5,87.76,86,0,100.0,True
NAR_41000002,True,120,97,83,80.83,84.69,84,4,95.24,False
NAR_41000003,True,120,88,77,73.33,78.57,78,0,100.0,False
NAR_41000004,True,120,93,79,77.5,80.61,80,0,100.0,True
NAR_52000077,True,120,104,89,86.67,90.82,91,0,100.0,True
NAR_52000078,True,120,80,65,66.67,66.33,67,0,100.0,False
NAR_52000079,True,120,94,85,78.33,86.73,84,0,100.0,True
NAR_52000080,True,120,63,52,52.5,53.06,53,0,100.0,False
NAR_53000067,True,120,103,86,85.83,87.76,87,0,100.0,True
NAR_53000110,True,120,99,83,82.5,84.69,85,0,100.0,True
NAR_53000111,True,120,90,83,75.0,84.69,83,0,100.0,True
NAR_53000137,True,120,82,67,68.33,68.37,71,0,100.0,False
NAR_63000071,True,120,107,90,89.17,91.84,93,0,100.0,True
NAR_63000072,True,120,98,87,81.67,88.78,90,0,100.0,True
NAR_63000073,True,120,105,90,87.5,91.84,93,0,100.0,True
NAR_63000074,True,120,78,66,65.0,67.35,67,0,100.0,False
NAR_72000023,True,120,92,77,76.67,78.57,80,0,100.0,False
NAR_72000030,True,120,86,70,71.67,71.43,72,0,100.0,False
NAR_72000033,True,120,68,57,56.67,58.16,57,0,100.0,False
NAR_72000034,True,120,43,36,35.83,36.73,36,0,100.0,False
NAR_76000056,True,120,45,39,37.5,39.8,41,0,100.0,False
NAR_76000057,True,120,52,44,43.33,44.9,45,0,100.0,False
NAR_76000058,True,120,33,25,27.5,25.51,28,0,100.0,False
NAR_76000059,True,120,49,43,40.83,43.88,44,0,100.0,False
