field,field_type,nar_inclusion,n_records,TP,FP,FN,TN,precision,recall,f1,exact_accuracy,fuzzy_accuracy
length,int,included,4,4,0,0,0,1.0,1.0,1.0,1.0,1.0
head_circumference,int,included,4,4,0,0,0,1.0,1.0,1.0,1.0,1.0
record_type,str,included,27,27,0,0,0,1.0,1.0,1.0,1.0,1.0
birth_date,date,included,27,26,1,0,0,0.963,1.0,0.9811,0.963,0.963
rbs_measured,bool,included,20,17,3,0,0,0.85,1.0,0.9189,0.85,0.85
pulse_oximetry,int,included,22,17,4,1,0,0.8095,0.9444,0.8718,0.7727,0.7727
temparature,float,included,26,20,5,1,0,0.8,0.9524,0.8696,0.7692,0.7692
mum_age_in_years,int,included,26,19,3,4,0,0.8636,0.8261,0.8444,0.7308,0.7308
respiratory_rate,int,included,18,13,3,2,0,0.8125,0.8667,0.8387,0.7222,0.7222
weight,int,included,13,9,3,1,0,0.75,0.9,0.8182,0.6923,0.6923
time_birth,time,included,16,11,5,0,0,0.6875,1.0,0.8148,0.6875,0.6875
given_prophylaxis_pmtct,bool,included,3,2,1,0,0,0.6667,1.0,0.8,0.6667,0.6667
given_bilirubin,bool,included,3,2,0,1,0,1.0,0.6667,0.8,0.6667,0.6667
date_estimated_delivery_date,date,included,21,14,4,3,0,0.7778,0.8235,0.8,0.6667,0.6667
umbilicus,str,included,27,18,2,7,0,0.9,0.72,0.8,0.6667,0.6667
birth_weight,int,included,26,17,8,1,0,0.68,0.9444,0.7907,0.6538,0.6538
has_birth_defects,bool,included,17,11,1,5,0,0.9167,0.6875,0.7857,0.6471,0.6471
has_crackles,bool,included,27,17,2,8,0,0.8947,0.68,0.7727,0.6296,0.6296
is_multiple_delivery,bool,included,24,15,2,7,0,0.8824,0.6818,0.7692,0.625,0.625
pulse_rate,int,included,21,13,7,1,0,0.65,0.9286,0.7647,0.619,0.619
prescribed_incubator,bool,included,5,3,2,0,0,0.6,1.0,0.75,0.6,0.6
is_floppy,bool,included,27,16,4,7,0,0.8,0.6957,0.7442,0.5926,0.5926
has_convulsions,bool,included,27,16,6,5,0,0.7273,0.7619,0.7442,0.5926,0.5926
has_bulging_fontanelle,bool,included,27,16,0,11,0,1.0,0.5926,0.7442,0.5926,0.5926
given_vitamin_k,bool,included,17,10,2,5,0,0.8333,0.6667,0.7407,0.5882,0.5882
tone,str,included,26,15,1,10,0,0.9375,0.6,0.7317,0.5769,0.5769
has_apnoea,bool,included,26,15,5,6,0,0.75,0.7143,0.7317,0.5769,0.5769
prescribed_opv,bool,included,7,4,1,2,0,0.8,0.6667,0.7273,0.5714,0.5714
parity_live,int,included,23,13,0,10,0,1.0,0.5652,0.7222,0.5652,0.5652
has_central_cyanosis,bool,included,27,15,3,9,0,0.8333,0.625,0.7143,0.5556,0.5556
has_murmur,bool,included,27,15,1,11,0,0.9375,0.5769,0.7143,0.5556,0.5556
has_vomiting,bool,included,27,15,6,6,0,0.7143,0.7143,0.7143,0.5556,0.5556
gestation_type,str,included,15,8,7,0,0,0.5333,1.0,0.6957,0.5333,0.5333
born_before_arrival,bool,included,25,13,7,5,0,0.65,0.7222,0.6842,0.52,0.52
parity_abortions,int,included,22,11,0,11,0,1.0,0.5,0.6667,0.5,0.5
was_resuscitated,bool,included,18,9,8,1,0,0.5294,0.9,0.6667,0.5,0.5
prescribed_surfactant,bool,included,4,2,1,1,0,0.6667,0.6667,0.6667,0.5,0.5
diastolic_blood_pressure,int,included,2,1,1,0,0,0.5,1.0,0.6667,0.5,0.5
multiple_delivery_num,int,included,4,2,0,2,0,1.0,0.5,0.6667,0.5,0.5
prescribed_phototherapy,bool,included,6,3,1,2,0,0.75,0.6,0.6667,0.5,0.5
has_grunting,bool,included,27,13,4,10,0,0.7647,0.5652,0.65,0.4815,0.4815
is_irritable,bool,included,27,13,0,14,0,1.0,0.4815,0.65,0.4815,0.4815
time_seen,time,included,19,9,7,3,0,0.5625,0.75,0.6429,0.4737,0.4737
mum_has_anc_ultrasound,bool,included,15,7,3,5,0,0.7,0.5833,0.6364,0.4667,0.4667
delivery_type,str,included,26,12,8,6,0,0.6,0.6667,0.6316,0.4615,0.4615
gestation_in_weeks,int,included,26,12,2,12,0,0.8571,0.5,0.6316,0.4615,0.4615
chest_indrawing,bool,included,27,12,9,5,1,0.5714,0.7059,0.6316,0.4815,0.4444
has_difficulty_feeding,bool,included,26,12,9,5,0,0.5714,0.7059,0.6316,0.4615,0.4615
prescribed_oxygen,bool,included,13,6,4,3,0,0.6,0.6667,0.6316,0.4615,0.4615
given_bcg,bool,included,9,4,2,3,0,0.6667,0.5714,0.6154,0.4444,0.4444
has_difficulty_breathing,bool,included,27,12,8,7,0,0.6,0.6316,0.6154,0.4444,0.4444
prescribed_transfusion,bool,included,7,3,1,3,0,0.75,0.5,0.6,0.4286,0.4286
has_good_air_entry,bool,included,27,11,10,6,0,0.5238,0.6471,0.5789,0.4074,0.4074
is_distended,bool,included,27,11,2,14,0,0.8462,0.44,0.5789,0.4074,0.4074
passed_meconium,bool,included,21,7,8,6,0,0.4667,0.5385,0.5,0.3333,0.3333
prescribed_cpap,bool,included,9,3,3,3,0,0.5,0.5,0.5,0.3333,0.3333
prescribed_kmc,bool,included,6,2,2,2,0,0.5,0.5,0.5,0.3333,0.3333
appearance,str,included,25,8,7,10,0,0.5333,0.4444,0.4848,0.32,0.32
passed_urine,bool,included,22,7,8,7,0,0.4667,0.5,0.4828,0.3182,0.3182
cry,str,included,23,7,5,11,0,0.5833,0.3889,0.4667,0.3043,0.3043
mum_had_vdrl,bool,included,24,7,1,16,0,0.875,0.3043,0.4516,0.2917,0.2917
prescribed_caffeine_citrate,bool,included,7,2,2,3,0,0.5,0.4,0.4444,0.2857,0.2857
given_chlorhexidine,bool,included,7,2,2,3,0,0.5,0.4,0.4444,0.2857,0.2857
mum_had_hypertension_in_pregnancy,bool,included,22,6,2,14,0,0.75,0.3,0.4286,0.2727,0.2727
skin,str,included,27,7,3,17,0,0.7,0.2917,0.4118,0.2593,0.2593
mum_had_antepartum_haemorrhage,bool,included,20,5,1,14,0,0.8333,0.2632,0.4,0.25,0.25
prolonged_labour,bool,included,16,4,0,12,0,1.0,0.25,0.4,0.25,0.25
mum_had_hepatitis_b,bool,included,20,5,2,13,0,0.7143,0.2778,0.4,0.25,0.25
mum_had_diabetes,bool,included,20,5,2,13,0,0.7143,0.2778,0.4,0.25,0.25
prescribed_iv_fluids,bool,included,12,3,5,4,0,0.375,0.4286,0.4,0.25,0.25
anc_visits,int,included,13,3,0,10,0,1.0,0.2308,0.375,0.2308,0.2308
apgar_5m,int,included,26,6,5,15,0,0.5455,0.2857,0.375,0.2308,0.2308
prescribed_antibiotics,bool,included,14,3,2,9,0,0.6,0.25,0.3529,0.2143,0.2143
blood_group,str,included,24,5,7,12,0,0.4167,0.2941,0.3448,0.2083,0.2083
prescribed_feeds,bool,included,5,1,2,2,0,0.3333,0.3333,0.3333,0.2,0.2
apgar_10m,int,included,23,4,1,18,0,0.8,0.1818,0.2963,0.1739,0.1739
mum_on_arvs,bool,included,24,4,1,19,0,0.8,0.1739,0.2857,0.1667,0.1667
xiphoid_retraction,str,included,26,1,1,4,20,0.5,0.2,0.2857,0.8077,0.3077
mum_given_HBIG_treatment,bool,included,16,2,1,13,0,0.6667,0.1333,0.2222,0.125,0.125
apgar_1m,int,included,26,3,6,17,0,0.3333,0.15,0.2069,0.1154,0.1154
intercostal_retraction,str,included,26,1,1,7,17,0.5,0.125,0.2,0.6923,0.3077
has_fever,bool,included,27,3,3,21,0,0.5,0.125,0.2,0.1111,0.1111
baby_age_in_days,int,included,15,1,13,1,0,0.0714,0.5,0.125,0.0667,0.0667
mum_pmtct_status,bool,included,17,1,7,9,0,0.125,0.1,0.1111,0.0588,0.0588
rhesus,str,included,23,1,15,7,0,0.0625,0.125,0.0833,0.0435,0.0435
had_cs,str,included,9,0,1,8,0,0.0,0.0,0.0,0.0,0.0
born_where,str,included,3,0,1,2,0,0.0,0.0,0.0,0.0,0.0
capillary_refill_in_seconds,float,included,22,0,10,12,0,0.0,0.0,0.0,0.0,0.0
given_anti_D_medication,str,included,10,0,0,10,0,0.0,0.0,0.0,0.0,0.0
date,unknown,not included,27,0,0,27,0,0.0,0.0,0.0,0.0,0.0
has_diarhoea,bool,included,27,0,4,23,0,0.0,0.0,0.0,0.0,0.0
pallor,str,included,27,0,2,1,24,0.0,0.0,0.0,0.8889,0.6667
hospital,coded_int,not included,27,0,0,27,0,0.0,0.0,0.0,0.0,0.0
jaundice,str,included,25,0,6,1,18,0.0,0.0,0.0,0.72,0.56
parity,unknown,not included,3,0,0,3,0,0.0,0.0,0.0,0.0,0.0
systolic_blood_pressure,int,included,2,0,2,0,0,0.0,0.0,0.0,0.0,0.0
rapture_of_membrane,str,included,14,0,1,13,0,0.0,0.0,0.0,0.0,0.0
sex,str,included,26,0,26,0,0,0.0,0.0,0.0,0.0,0.0
