field,field_type,nar_inclusion,n_records,TP,FP,FN,TN,precision,recall,f1,exact_accuracy,fuzzy_accuracy
given_bilirubin,bool,included,4,4,0,0,0,1.0,1.0,1.0,1.0,1.0
head_circumference,int,included,4,4,0,0,0,1.0,1.0,1.0,1.0,1.0
prescribed_incubator,bool,included,5,5,0,0,0,1.0,1.0,1.0,1.0,1.0
prescribed_oxygen,bool,included,13,13,0,0,0,1.0,1.0,1.0,1.0,1.0
record_type,str,included,28,28,0,0,0,1.0,1.0,1.0,1.0,1.0
rbs_measured,bool,included,21,21,0,0,0,1.0,1.0,1.0,1.0,1.0
xiphoid_retraction,str,included,27,5,0,0,22,1.0,1.0,1.0,1.0,0.8889
length,int,included,4,4,0,0,0,1.0,1.0,1.0,1.0,1.0
intercostal_retraction,str,included,27,8,0,0,19,1.0,1.0,1.0,1.0,0.8889
apgar_5m,int,included,27,24,0,3,0,1.0,0.8889,0.9412,0.8889,0.8889
appearance,str,included,26,23,3,0,0,0.8846,1.0,0.9388,0.8846,0.8846
given_vitamin_k,bool,included,17,15,0,2,0,1.0,0.8824,0.9375,0.8824,0.8824
parity_live,int,included,24,21,0,3,0,1.0,0.875,0.9333,0.875,0.875
parity_abortions,int,included,23,20,0,3,0,1.0,0.8696,0.9302,0.8696,0.8696
has_good_air_entry,bool,included,28,24,1,3,0,0.96,0.8889,0.9231,0.8571,0.8571
umbilicus,str,included,28,24,1,3,0,0.96,0.8889,0.9231,0.8571,0.8571
given_chlorhexidine,bool,included,7,6,0,1,0,1.0,0.8571,0.9231,0.8571,0.8571
anc_visits,int,included,14,12,0,2,0,1.0,0.8571,0.9231,0.8571,0.8571
tone,str,included,27,23,1,3,0,0.9583,0.8846,0.92,0.8519,0.8519
birth_date,date,included,28,23,1,4,0,0.9583,0.8519,0.902,0.8214,0.8214
skin,str,included,28,23,4,1,0,0.8519,0.9583,0.902,0.8214,0.8214
gestation_in_weeks,int,included,27,22,1,4,0,0.9565,0.8462,0.898,0.8148,0.8148
apgar_1m,int,included,27,22,2,3,0,0.9167,0.88,0.898,0.8148,0.8148
mum_has_anc_ultrasound,bool,included,16,13,0,3,0,1.0,0.8125,0.8966,0.8125,0.8125
is_multiple_delivery,bool,included,25,20,0,5,0,1.0,0.8,0.8889,0.8,0.8
prescribed_feeds,bool,included,5,4,0,1,0,1.0,0.8,0.8889,0.8,0.8
apgar_10m,int,included,24,19,2,3,0,0.9048,0.8636,0.8837,0.7917,0.7917
respiratory_rate,int,included,19,15,1,3,0,0.9375,0.8333,0.8824,0.7895,0.7895
has_bulging_fontanelle,bool,included,28,22,0,6,0,1.0,0.7857,0.88,0.7857,0.7857
has_crackles,bool,included,28,22,0,6,0,1.0,0.7857,0.88,0.7857,0.7857
is_irritable,bool,included,28,22,0,6,0,1.0,0.7857,0.88,0.7857,0.7857
has_grunting,bool,included,28,22,0,6,0,1.0,0.7857,0.88,0.7857,0.7857
has_murmur,bool,included,28,22,0,6,0,1.0,0.7857,0.88,0.7857,0.7857
pulse_oximetry,int,included,23,18,1,4,0,0.9474,0.8182,0.878,0.7826,0.7826
mum_age_in_years,int,included,27,21,3,3,0,0.875,0.875,0.875,0.7778,0.7778
given_bcg,bool,included,9,7,1,1,0,0.875,0.875,0.875,0.7778,0.7778
temparature,float,included,27,21,2,4,0,0.913,0.84,0.875,0.7778,0.7778
was_resuscitated,bool,included,18,14,0,4,0,1.0,0.7778,0.875,0.7778,0.7778
prescribed_iv_fluids,bool,included,13,10,1,2,0,0.9091,0.8333,0.8696,0.7692,0.7692
blood_group,str,included,25,19,3,3,0,0.8636,0.8636,0.8636,0.76,0.76
is_distended,bool,included,28,21,0,7,0,1.0,0.75,0.8571,0.75,0.75
birth_weight,int,included,27,20,4,3,0,0.8333,0.8696,0.8511,0.7407,0.7407
born_before_arrival,bool,included,26,19,1,6,0,0.95,0.76,0.8444,0.7308,0.7308
date_estimated_delivery_date,date,included,22,16,3,3,0,0.8421,0.8421,0.8421,0.7273,0.7273
has_central_cyanosis,bool,included,28,20,1,7,0,0.9524,0.7407,0.8333,0.7143,0.7143
prescribed_opv,bool,included,7,5,0,2,0,1.0,0.7143,0.8333,0.7143,0.7143
prescribed_phototherapy,bool,included,7,5,0,2,0,1.0,0.7143,0.8333,0.7143,0.7143
chest_indrawing,bool,included,28,19,4,4,1,0.8261,0.8261,0.8261,0.7143,0.6786
prolonged_labour,bool,included,16,11,0,5,0,1.0,0.6875,0.8148,0.6875,0.6875
pulse_rate,int,included,22,15,3,4,0,0.8333,0.7895,0.8108,0.6818,0.6818
prescribed_antibiotics,bool,included,15,10,0,5,0,1.0,0.6667,0.8,0.6667,0.6667
prescribed_cpap,bool,included,9,6,1,2,0,0.8571,0.75,0.8,0.6667,0.6667
given_prophylaxis_pmtct,bool,included,3,2,0,1,0,1.0,0.6667,0.8,0.6667,0.6667
